fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2025-10-08;Valladolid;VA;70-79;9509;11619;396.8200977;423.6490921;21128
2025-10-08;Segovia;SE;>80;2446;3818;509.6895186;477.0710983;6264
2025-10-08;Soria;SO;>80;2016;3092;552.3287671;543.887423;5108
2025-10-08;Valladolid;VA;>80;7350;11954;536.1050328;513.3336196;19304
2025-10-08;Ávila;AV;0-9;2371;2159;407.7386071;404.3828432;4530
2025-10-08;León;LE;0-9;6271;5935;434.5807346;442.2503726;12206
2025-10-08;Palencia;PA;0-9;2833;2617;505.531763;501.0530347;5450
2025-10-08;Salamanca;SA;0-9;4855;4603;433.9083028;433.6316533;9458
2025-10-08;Segovia;SE;0-9;2520;2404;424.8145651;427.9102884;4924
2025-10-08;Soria;SO;0-9;1497;1410;443.6870184;435.723115;2907
2025-10-08;Castilla y León;CyL;0-9;37218;34732;429.7492033;426.5363266;71950
2025-10-08;Burgos;BU;10-19;7080;6866;437.6584039;448.6408782;13946
2025-10-08;Palencia;PA;10-19;3248;3178;517.0327921;536.9150194;6426
2025-10-08;Valladolid;VA;10-19;10554;10744;427.8764291;460.0890716;21298
2025-10-08;Ávila;AV;20-29;2965;3244;415.149818;491.6641406;6209
2025-10-08;Burgos;BU;20-29;7350;7717;458.9160839;514.8442191;15067
2025-10-08;Soria;SO;20-29;1955;2089;444.015444;508.3962035;4044
2025-10-08;Zamora;ZA;20-29;2866;3071;431.3666466;502.4541885;5937
2025-10-08;Zamora;ZA;30-39;3405;4172;397.4089636;530.7212823;7577
2025-10-08;Ávila;AV;40-49;4277;5381;391.4157591;502.4276377;9658
2025-10-08;Burgos;BU;40-49;11389;13379;399.6420801;494.6940285;24768
2025-10-08;Palencia;PA;40-49;5065;6120;446.2948277;555.1523948;11185
2025-10-08;Salamanca;SA;40-49;8360;10963;366.9885865;465.5992525;19323
2025-10-08;Valladolid;VA;40-49;17230;20946;383.904102;478.1209341;38176
2025-10-08;Zamora;ZA;40-49;4387;5943;398.3112402;547.8934268;10330
2025-10-08;Zamora;ZA;50-59;4655;5968;361.6657602;478.857418;10623
2025-10-08;Ávila;AV;60-69;3930;4550;389.4559508;503.5971223;8480
2025-10-08;Burgos;BU;60-69;7791;9098;334.2198962;419.37863;16889
2025-10-08;León;LE;60-69;10821;13512;357.4944663;449.500998;24333
2025-10-08;Segovia;SE;60-69;3294;3744;374.7440273;460.2335587;7038
2025-10-08;León;LE;70-79;8747;10771;418.7571812;434.752775;19518
2025-10-08;Salamanca;SA;70-79;6057;7467;404.1502636;425.6398564;13524
2025-10-08;Segovia;SE;70-79;2453;2708;432.3990834;432.2426177;5161
2025-10-08;Zamora;ZA;70-79;3851;4380;436.9681153;442.8715875;8231
2025-10-08;Castilla y León;CyL;70-79;45321;53324;415.255635;434.8790553;98645
2025-10-08;Ávila;AV;>80;3231;4830;545.2244347;535.5360905;8061
2025-10-08;Burgos;BU;>80;5272;8733;478.3160951;469.617122;14005
2025-10-08;León;LE;>80;8426;13339;487.249176;450.9313411;21765
2025-10-08;Salamanca;SA;>80;6506;9882;523.3689969;495.0405771;16388
2025-10-08;Zamora;ZA;>80;4089;6023;522.4891388;485.804162;10112
2025-09-24;Salamanca;SA;0-9;4856;4604;433.9976763;433.7258596;9460
2025-09-24;Valladolid;VA;0-9;9022;8440;427.2387176;421.1366698;17462
2025-09-24;León;LE;10-19;7571;7598;443.7606236;467.1954744;15169
